ID,Match #,Batting_Runs,Batting_Mins,Balls Faced,4s,6s,SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Overs,Mdns,Bowling_Runs,Wkts,Bowling_Econ,Bowling_Pos,Bowling_Inns,Catch Taken,Inns,Opposition,Ground,Start Date,
369,Test # 1476,61,181,133,8,0,45.86,5,caught,2,2,0,12,0,6,6,1,0,1,Test v Australia,Adelaide,10-Dec-99,61
370,Test # 1476,0,6,5,0,0,0,5,lbw,4,-1,-,-,-,-,-,3,0,3,Test v Australia,Adelaide,10-Dec-99,0
371,Test # 1479,116,283,191,9,1,60.73,4,caught,2,-1,-,-,-,-,-,1,0,1,Test v Australia,Melbourne,26-Dec-99,116
372,Test # 1479,52,162,122,4,0,42.62,4,lbw,4,-1,-,-,-,-,-,3,0,3,Test v Australia,Melbourne,26-Dec-99,52
373,Test # 1481,45,82,53,8,0,84.9,4,lbw,1,7,0,34,1,4.85,7,2,0,2,Test v Australia,Sydney,02-Jan-00,45
374,Test # 1481,4,6,4,1,0,100,4,caught,3,-1,-,-,-,-,-,4,0,4,Test v Australia,Sydney,02-Jan-00,4
375,ODI # 1537,13,28,26,2,0,50,4,bowled,1,-1,-,-,-,-,-,2,0,2,ODI v Pakistan,Brisbane,10-Jan-00,13
376,ODI # 1539,12,25,11,2,0,109.09,4,run out,2,3,0,23,0,7.66,4,1,2,1,ODI v Australia,Melbourne,12-Jan-00,12
377,ODI # 1540,1,13,11,0,0,9.09,2,caught,1,-1,-,-,-,-,-,2,0,2,ODI v Australia,Sydney,14-Jan-00,1
378,ODI # 1543,93,157,103,10,0,90.29,1,bowled,2,1,0,6,0,6,7,1,1,1,ODI v Pakistan,Hobart,21-Jan-00,93
379,ODI # 1547,41,69,46,5,0,89.13,1,caught,1,-1,-,-,-,-,-,2,1,2,ODI v Pakistan,Adelaide,25-Jan-00,41
380,ODI # 1548,18,45,28,2,0,64.28,1,caught,2,7,0,48,1,6.85,7,1,0,1,ODI v Australia,Adelaide,26-Jan-00,18
381,ODI # 1550,17,19,14,4,0,121.42,1,caught,2,-1,-,-,-,-,-,1,2,1,ODI v Pakistan,W.A.C.A,28-Jan-00,17
382,ODI # 1552,3,23,21,0,0,14.28,2,bowled,1,-1,-,-,-,-,-,2,1,2,ODI v Australia,W.A.C.A,30-Jan-00,3
383,Test # 1484,97,208,163,12,2,59.5,4,caught,1,5,1,10,3,2,5,2,0,2,Test v South Africa,Wankhede,24-Feb-00,97
384,Test # 1484,8,20,11,2,0,72.72,4,lbw,3,1,0,4,0,4,5,4,0,4,Test v South Africa,Wankhede,24-Feb-00,8
385,Test # 1486,21,120,76,3,0,27.63,4,caught,1,10,2,33,0,3.3,5,2,2,2,Test v South Africa,Bengaluru,02-Mar-00,21
386,Test # 1486,20,76,53,2,0,37.73,4,caught,3,-1,-,-,-,-,-,4,0,4,Test v South Africa,Bengaluru,02-Mar-00,20
